country_or_area,iso_code,data_source_category,reference_date_dd_mm_yyyy,average_household_size_number_of_members,x1_member,x2_3_members,x4_5_members,x6_or_more_members,female_head_of_household_percentage_of_households,under_20_years_aged_0_19_11,aged_20_64_years,aged_60_years_or_over_13,aged_65_years_or_over_14,under_15_years_aged_0_14,under_18_years_aged_0_17,under_20_years_aged_0_19_17,aged_60_years_or_over_18,aged_65_years_or_over_19,under_15_years_and_60_years_or_over,under_15_years_and_65_years_or_over,under_18_years_and_60_years_or_over,under_18_years_and_65_years_or_over,under_20_years_and_60_years_or_over,under_20_years_and_65_years_or_over,under_age_15_years_among_all_households,under_age_15_years_among_households_with_at_least_one_member_under_age_15_years,under_age_20_years_among_all_households,under_age_20_years_among_households_with_at_least_one_member_under_age_20_years,ages_20_64_years_among_all_households,one_person,couple_only,couple_with_children,single_parent_with_children,single_mother_with_children,single_father_with_children,extended_family,non_relatives,unknown,nuclear,multi_generation,three_generation,skip_generation,x44,x45
Malaysia,458,IPUMS,33245,4.79,7.61,24.4,33.369999999999997,34.61,18.48,1.37,88.52,16.260000000000002,10.119999999999999,67.83,72.989999999999995,76.41,23.08,15.71,12.28,8.33,13.63,9.17,14.39,9.64,1.78,2.62,2.2200000000000002,2.91,2.38,7.61,6.06,45.26,6.47,5.44,1.03,27.17,7.43,0,57.79,31.58,15.02,1.58,NA,NA
Malaysia,458,DYB,36532,4.57,7.11,25.52,37.880000000000003,29.5,13.88,0.76,89.14,16.690000000000001,10.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.11,7.56,54.41,3.23,..,..,..,..,27.69,65.2,..,..,..,NA,NA
Malaysia,458,IPUMS,36532,4.5599999999999996,7.14,25.64,37.86,29.36,13.74,0.77,89.15,16.600000000000001,10.08,63.48,68.989999999999995,72.52,22.2,14.76,9.93,6.66,11.15,7.42,11.91,7.84,1.55,2.44,1.99,2.75,2.39,7.14,7.2,52.57,5.25,4.17,1.08,21.84,5.99,0,65.03,31.81,12.13,1.0900000000000001,NA,NA
Myanmar,104,MICS,36532,5.07,1.68,22.67,38.4,37.25,..,..,..,..,..,72.040000000000006,78.2,81.59,31.2,21.87,16.54,11.68,18.670000000000002,13.11,20.04,13.83,1.57,2.17,2.1,2.56,2.7,..,..,..,..,..,..,..,..,..,..,..,..,..,NA,NA
Myanmar,104,IPUMS,41646,4.4000000000000004,4.6100000000000003,32.31,37.840000000000003,25.24,23.69,0.49,84.48,23.27,15.03,66.069999999999993,71.81,75.319999999999993,30.2,20.92,15.29,10.63,16.98,11.74,18.07,12.4,1.29,1.95,1.68,2.23,2.4700000000000002,4.6100000000000003,6.78,41.95,8.89,7.24,1.65,33.53,4.24,0,57.62,41.64,19.87,1.95,NA,NA
Myanmar,104,DHS,22/03/2016,4.22,5.35,33.49,39.14,22.01,22.47,0.12,81.58,27.94,18.27,63.58,68.86,71.790000000000006,34.619999999999997,23.95,17.27,11.97,18.89,12.97,19.86,13.51,1.22,1.91,1.53,2.13,2.39,5.35,7.31,40.57,8.52,6.74,1.78,36.82,1.41,0.01,56.4,45.08,23.02,2.58,NA,NA
Philippines,608,IPUMS,32880,5.21,2.91,21.25,34.42,41.43,11.42,0.54,89.65,15.58,9.81,76.55,81.92,85.07,20.66,14.15,10.6,7.15,12.14,8.07,13.14,8.6199999999999992,2.0499999999999998,2.68,2.62,3.08,2.41,2.91,5.25,58.07,5.83,4.2,1.63,23.19,4.76,0,69.150000000000006,30.55,10.66,1.71,NA,NA
Philippines,608,DHS,29/05/1993,5.33,2.77,19.95,34.42,42.87,14.03,0.24,88.03,18.39,11.62,76.83,81.92,84.63,23.83,16.16,13.27,8.81,14.74,9.76,15.66,10.28,2.09,2.72,2.65,3.13,2.4700000000000002,2.77,4.1900000000000004,53.65,5.26,3.94,1.31,28.06,6,7.0000000000000007E-2,63.09,35,16.559999999999999,2.41,NA,NA
Philippines,608,IPUMS,34706,5.07,3.44,22.69,35.33,38.54,12.2,0.68,89.23,15.84,10.08,73.959999999999994,79.84,83.14,20.350000000000001,13.9,9.99,6.72,11.51,7.65,12.42,8.16,1.95,2.63,2.5,3,2.39,3.44,5.59,57.61,6.27,4.26,2,22.21,4.88,0,69.47,30.56,10.17,1.68,NA,NA
Philippines,608,DHS,13/04/1998,5.07,4.07,21.8,35.96,38.159999999999997,14.44,0.35,87.81,18.440000000000001,11.77,73.599999999999994,79.59,82.68,24.1,16.5,12.71,8.6300000000000008,14.48,9.75,15.45,10.39,1.9,2.57,2.4300000000000002,2.93,2.4300000000000002,4.07,4.79,49.56,5.49,4.1399999999999997,1.34,28.83,7.25,0,59.85,33.880000000000003,16.329999999999998,2.36,NA,NA
Philippines,608,MICS,36167,4.97,3.57,23.19,37.17,36.08,13.36,0.55000000000000004,88.03,17.440000000000001,11.39,73.02,79.010000000000005,82.66,22.45,15.69,11.37,7.82,13.15,8.81,13.94,9.25,1.87,2.5499999999999998,2.39,2.89,2.38,3.57,5.09,53.88,5.41,3.96,1.45,26.39,5.67,0,64.37,32.78,15.07,2.44,NA,NA
Philippines,608,IPUMS,36532,4.91,4.1500000000000004,24.4,35.590000000000003,35.86,13.53,0.48,88.51,17.22,11.01,71.150000000000006,76.94,80.36,21.93,15.01,10.039999999999999,6.72,11.57,7.67,12.54,8.24,1.8,2.54,2.31,2.88,2.4,4.1500000000000004,6.19,56.4,6.13,4.22,1.91,22.74,4.38,0,68.72,32.270000000000003,10.56,1.65,NA,NA
Philippines,608,DHS,37629,4.82,4.1399999999999997,25.54,36.770000000000003,33.54,15.37,0.39,88.01,17.93,11.58,71.97,77.62,80.459999999999994,22.76,15.66,11.29,7.51,12.83,8.5399999999999991,13.66,8.98,1.78,2.48,2.27,2.82,2.35,4.1399999999999997,5.66,50.3,6.15,4.3899999999999997,1.76,27.27,6.43,0.05,62.11,32.799999999999997,14.99,2.63,NA,NA
Philippines,608,DYB,39089,4.76,5.89,26.14,34.68,33.29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA,NA
Philippines,608,DHS,31/08/2008,4.78,5.25,25.11,36.64,32.99,16.61,0.49,86.64,19.93,12.87,70.69,76.61,79.849999999999994,25.79,17.73,12.88,8.66,14.66,9.8699999999999992,15.67,10.45,1.66,2.35,2.16,2.71,2.39,5.25,5.57,45.4,6.2,4.2699999999999996,1.93,31.32,6.24,0.02,57.17,35.82,18.45,2.54,NA,NA
Philippines,608,IPUMS,40185,4.54,6.05,28.19,36.5,29.26,15.92,0.53,87.54,18.52,11.93,67.72,73.569999999999993,77,23.19,15.78,10.39,6.83,11.84,7.75,12.75,8.2799999999999994,1.51,2.23,1.98,2.58,2.36,6.05,6.68,51.42,6.69,4.83,1.86,25.27,3.89,0,64.8,33.630000000000003,13.39,2.0699999999999998,NA,NA
Philippines,608,DHS,13/09/2013,4.74,4.97,25.59,37.36,32.08,18.89,0.34,85.55,22.31,14.1,69.760000000000005,75.86,79.040000000000006,28.02,18.57,14.67,9.32,16.309999999999999,10.41,17.12,10.92,1.58,2.2599999999999998,2.06,2.61,2.4500000000000002,4.97,5.24,44.03,6.93,4.66,2.2599999999999998,33.799999999999997,5.03,0.01,56.19,40.26,21.35,3.14,NA,NA
Philippines,608,DYB,42011,4.38,7.77,29.83,35.68,26.72,19.23,0.76,86.66,19.690000000000001,12.58,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA,NA
Philippines,608,DHS,17/09/2017,4.2300000000000004,9.18,30.05,36.82,23.95,20.64,0.9,83.27,23.73,15.8,62.3,68.709999999999994,72.12,29.38,20.22,13.21,8.6300000000000008,14.89,9.67,15.76,10.25,1.33,2.14,1.75,2.42,2.2200000000000002,9.18,6.55,42.23,7.93,5.49,2.4300000000000002,30.77,3.34,0,56.71,35.979999999999997,18.260000000000002,3.01,NA,NA
Singapore,702,DYB,36532,3.58,8.24,36.32,43.4,12.04,17.649999999999999,..,..,17.79,11.44,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.24,..,..,..,..,..,..,..,..,..,..,..,..,NA,NA
Singapore,702,DYB,40185,3.29,12.21,38.950000000000003,37.69,11.15,21.62,..,..,23.3,14.03,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.21,..,..,..,..,..,..,..,..,..,..,..,..,NA,NA
Singapore,702,DYB,43837,2.95,16.05,43.01,31.99,8.9600000000000009,27.57,..,..,33.130000000000003,21.53,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.05,..,..,..,..,..,..,..,..,..,..,..,..,NA,NA
Thailand,764,IPUMS,25575,5.71,3.12,18.03,28.63,50.23,14.22,0.64,90.72,14.62,8.59,82.89,87.05,89.22,22.64,14.93,15.98,10.63,17.309999999999999,11.37,18.079999999999998,11.8,2.61,3.14,3.21,3.59,2.3199999999999998,3.12,4.01,51.38,6.69,5.3,1.39,30.56,4.2300000000000004,0,62.08,30.92,14.84,0.62,NA,NA
Thailand,764,IPUMS,29227,5.13,3.84,22.07,34.33,39.76,16.63,0.85,89.69,15.38,9.4600000000000009,77.87,83.34,86.07,22.42,15.34,14.48,10.01,15.95,10.88,16.8,11.34,1.96,2.52,2.57,2.99,2.37,3.84,4.74,50.75,6.58,5.16,1.42,29.48,4.6100000000000003,0,62.07,36.29,18.48,1.02,NA,NA
Thailand,764,IPUMS,32880,4.29,5,30.72,42.09,22.19,19.38,0.55000000000000004,87.95,18.78,11.5,66.849999999999994,73.87,77.89,24.14,16.09,13.29,9,14.87,9.9499999999999993,15.9,10.51,1.25,1.88,1.7,2.1800000000000002,2.4,5,6.69,48.19,6.91,5.43,1.48,29.72,3.49,0,61.79,37.67,17.989999999999998,1.1599999999999999,NA,NA
Thailand,764,IPUMS,36532,3.69,8.6999999999999993,38.200000000000003,41.67,11.43,25.58,0.6,85.97,20.72,13.42,55.01,62.55,66.92,26.25,18.149999999999999,11.84,8.14,13.34,9.1999999999999993,14.23,9.7799999999999994,0.89,1.63,1.22,1.82,2.25,8.6999999999999993,9.3800000000000008,41.66,7.64,5.88,1.76,30.72,1.91,0,58.67,..,..,..,NA,NA
Thailand,764,MICS,38359,3.45,10.6,44.39,33.950000000000003,11.07,30,0.95,81.8,25.15,17.25,53.06,58.83,62.12,32.01,23.38,15.4,11.12,16.87,12.27,17.600000000000001,12.76,0.86,1.61,1.1000000000000001,1.77,2.0499999999999998,10.6,13.58,30.4,6.88,5.48,1.39,36.520000000000003,1.98,0.04,50.86,34.020000000000003,20.079999999999998,6.32,NA,NA
Thailand,764,DYB,40185,..,18.36,44.71,28.16,8.77,34.700000000000003,1.41,81.209999999999994,25.36,17.38,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.36,13.56,25.59,8.18,..,..,..,..,34.299999999999997,47.34,..,..,..,NA,NA
Thailand,764,MICS,40915,3.28,12.86,47.14,30.54,9.4499999999999993,35.450000000000003,0.63,78.72,30.39,20.66,47,53.91,56.84,37.36,26.73,15.46,10.74,17.71,12.54,18.45,13.12,0.71,1.51,0.94,1.65,2,12.86,14.93,25.88,6.72,5.25,1.48,38.43,1.1100000000000001,0.05,47.54,36.67,20.78,7.85,NA,NA
Thailand,764,MICS,42011,3.21,13.56,49.18,27.89,9.3699999999999992,37.299999999999997,0.59,76.92,33.1,22.47,42.15,48.14,51.52,39.799999999999997,28.68,14.59,10.14,16.510000000000002,11.58,17.399999999999999,12.27,0.63,1.49,0.84,1.63,2,13.56,16.11,24.85,7.09,5.55,1.54,36.96,1.44,0,48.04,37.700000000000003,19.46,6.68,NA,NA
Thailand,764,MICS,43472,2.84,21.59,48.62,23.39,6.41,40.01,0.59,73.84,37.299999999999997,25.57,33.85,39.090000000000003,41.71,43.83,31.57,13.29,9.25,15.26,10.81,16.07,11.41,0.5,1.47,0.65,1.55,1.78,21.59,18.649999999999999,20.09,7.1,5.37,1.74,31.84,0.72,0,45.85,34.43,16.760000000000002,6.72,NA,NA
Viet Nam,704,IPUMS,32515,4.82,4.99,24.72,36.08,34.21,32.04,0.63,86.14,20.5,13.22,77.28,82.9,85.65,27.47,19.350000000000001,15.25,10.82,17.510000000000002,12.02,18.79,12.72,1.93,2.5,2.44,2.84,2.15,4.99,3.92,..,..,..,..,..,0.34,0.4,..,34.78,17.73,1.18,NA,NA
Viet Nam,704,DHS,18/08/1997,4.72,3.89,22.16,44.08,29.87,24.58,0.15,84.24,22.56,15.61,75.95,81.37,83.7,31.73,24.03,17.579999999999998,13.63,19.63,14.88,20.83,15.48,1.65,2.17,2.13,2.5499999999999998,2.2799999999999998,3.89,3.35,55.78,7.97,6.78,1.18,28.65,0.36,0,67.099999999999994,40.22,21.39,0.84,NA,NA
Viet Nam,704,IPUMS,36167,4.51,4.3600000000000003,26.1,43.3,26.25,25.2,0.59,85.66,19.77,13.75,73.87,80.569999999999993,83.55,27.5,20.87,14.98,11.54,16.78,12.73,17.809999999999999,13.36,1.51,2.0499999999999998,2,2.39,2.25,4.3600000000000003,4.0599999999999996,54.73,9.11,7.89,1.22,..,..,..,67.89,..,..,..,NA,NA
Viet Nam,704,MICS,36532,4.54,3.78,23.44,47.26,25.52,..,..,..,..,..,72.349999999999994,80.12,83.73,29.5,22.21,15.08,11.34,17.32,12.73,18.38,13.45,1.47,2.0299999999999998,1.98,2.37,2.27,..,..,..,..,..,..,..,..,..,..,..,..,..,NA,NA
Viet Nam,704,DHS,37418,4.4000000000000004,4.3099999999999996,24,49.38,22.32,26.82,0.1,82.35,23.31,17.55,70.489999999999995,77.97,81.709999999999994,31.14,24.99,17.100000000000001,14.27,18.8,15.54,19.87,16.170000000000002,1.33,1.88,1.82,2.2200000000000002,2.27,4.3099999999999996,4.9000000000000004,54.16,7.25,6.25,1,28.87,0.49,0.04,66.3,40.01,21.76,1.05,NA,NA
Viet Nam,704,DHS,30/10/2005,4.22,4.24,29.71,46.63,19.420000000000002,27.03,0.17,83.1,23.15,16.72,66.900000000000006,76.19,79.349999999999994,31.14,23.9,16.62,12.7,18.54,14.19,19.440000000000001,14.92,1.17,1.75,1.63,2.06,2.27,4.24,6.07,49.32,8.17,6.94,1.24,31.26,0.94,0,63.56,41.4,23.23,1.51,NA,NA
Viet Nam,704,MICS,38724,4.25,4.25,26.08,50.37,19.309999999999999,24.6,0.08,84.61,20.93,15.32,62.86,73.069999999999993,77.97,32.07,25.71,16.02,12.74,18.03,14.37,19.079999999999998,15.13,1.0900000000000001,1.73,1.59,2.04,2.33,4.25,5.95,53.49,6.51,5.41,1.1000000000000001,29.54,0.26,0,65.94,46.2,22.58,1.19,NA,NA
Viet Nam,704,DYB,39820,..,7.24,35.21,43.8,13.76,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA,NA
Viet Nam,704,IPUMS,39820,3.78,7.28,36.25,43.44,13.02,27.15,1.01,84.98,19.260000000000002,14.01,57.95,66.73,71.89,25.18,19.559999999999999,10.62,8.27,12.09,9.41,12.9,9.98,0.95,1.64,1.34,1.86,2.19,7.28,8.07,49.48,8,6.9,1.1000000000000001,..,..,..,65.540000000000006,35.020000000000003,16.5,1.39,NA,NA
Viet Nam,704,MICS,40185,3.79,6.31,36.659999999999997,44.21,12.82,26.22,0.31,84.29,22.71,15.4,59.26,67.14,71.05,30.03,22.16,14.32,10.47,15.77,11.59,16.350000000000001,11.95,0.96,1.62,1.28,1.8,2.23,6.31,9.89,45.71,6.85,5.61,1.23,30.07,1.17,0,62.45,39.299999999999997,21.71,2.0299999999999998,NA,NA
Viet Nam,704,MICS,41281,3.86,6.85,35.14,43.38,14.63,26.88,0.18,81.64,26.21,18.18,57.22,64.510000000000005,68.33,33.159999999999997,24.47,15.41,11.07,16.760000000000002,12.2,17.55,12.76,0.95,1.66,1.24,1.81,2.31,6.85,10.26,42.74,6.07,5.04,1.02,33.299999999999997,0.76,0.02,59.07,44.62,24.99,2.19,NA,NA
Viet Nam,704,MICS,43837,3.44,10.52,41.58,37.51,10.38,29.72,0.64,82.4,26.07,16.96,55.78,61.3,63.52,34.1,23.95,14.85,10.09,16.11,11.08,16.45,11.35,0.94,1.69,1.1299999999999999,1.78,2,10.52,14.12,37.74,7.25,5.97,1.28,29.39,0.96,0.01,59.11,34.6,21.15,2.84,NA,NA
